id,stp_name,stp_site,stp_location
1,Moscow State Linguistic School No1900,http://sch1900sz.mskobr.ru/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2240.2017788438516!2d37.359125951353114!3d55.841812980481926!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x46b54706c59f8459%3A0x51d4b084164b35ec!2z0KHRgNC10LTQvdGP0Y8g0KjQutC-0LvQsCDQoSDQo9Cz0LvRg9Cx0LvQtdC90L3Ri9C8INCY0LfRg9GH0LXQvdC40LXQvCDQmNC90L7RgdGC0YDQsNC90L3Ri9GFINCv0LfRi9C60L7QsiDihJYgMTkwMA!5e0!3m2!1sru!2sru!4v1468423894362
2,"Moscow State University of Radio Engineering, Electronics and Automation (MSU MIREA)",https://www.mirea.ru/,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3944.8797825579218!2d37.47823709187688!3d55.67007318390135!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x46b54d9f896fa205%3A0x7f09ca52a906e522!2z0JzQvtGB0LrQvtCy0YHQutC40Lkg0YLQtdGF0L3QvtC70L7Qs9C40YfQtdGB0LrQuNC5INGD0L3QuNCy0LXRgNGB0LjRgtC10YI!5e0!3m2!1sru!2sru!4v1468423831079
